ID,EN,FR
1,Bulbasaur,Bulbizarre
2,Ivysaur,Herbizarre
3,Venusaur,Florizarre
4,Charmander,Salamèche
5,Charmeleon,Reptincel
6,Charizard,Dracaufeu
7,Squirtle,Carapuce
8,Wartortle,Carabaffe
9,Blastoise,Tortank
10,Caterpie,Chenipan
11,Metapod,Chrysacier
12,Butterfree,Papilusion
13,Weedle,Aspicot
14,Kakuna,Coconfort
15,Beedrill,Dardargnan
16,Pidgey,Roucool
17,Pidgeotto,Roucoups
18,Pidgeot,Roucarnage
19,Rattata,Rattata
20,Raticate,Rattatac
21,Spearow,Piafabec
22,Fearow,Rapasdepic
23,Ekans,Abo
24,Arbok,Arbok
25,Pikachu,Pikachu
26,Raichu,Raichu
27,Sandshrew,Sabelette
28,Sandslash,Sablaireau
29,Nidoran♀,Nidoran♀
30,Nidorina,Nidorina
31,Nidoqueen,Nidoqueen
32,Nidoran♂,Nidoran♂
33,Nidorino,Nidorino
34,Nidoking,Nidoking
35,Clefairy,Mélofée
36,Clefable,Mélodelfe
37,Vulpix,Goupix
38,Ninetales,Feunard
39,Jigglypuff,Rondoudou
40,Wigglytuff,Grodoudou
41,Zubat,Nosferapti
42,Golbat,Nosferalto
43,Oddish,Mystherbe
44,Gloom,Ortide
45,Vileplume,Rafflesia
46,Paras,Paras
47,Parasect,Parasect
48,Venonat,Mimitoss
49,Venomoth,Aéromite
50,Diglett,Taupiqueur
51,Dugtrio,Triopikeur
52,Meowth,Miaouss
53,Persian,Persian
54,Psyduck,Psykokwak
55,Golduck,Akwakwak
56,Mankey,Férosinge
57,Primeape,Colossinge
58,Growlithe,Caninos
59,Arcanine,Arcanin
60,Poliwag,Ptitard
61,Poliwhirl,Têtarte
62,Poliwrath,Tartard
63,Abra,Abra
64,Kadabra,Kadabra
65,Alakazam,Alakazam
66,Machop,Machoc
67,Machoke,Machopeur
68,Machamp,Mackogneur
69,Bellsprout,Chétiflor
70,Weepinbell,Boustiflor
71,Victreebel,Empiflor
72,Tentacool,Tentacool
73,Tentacruel,Tentacruel
74,Geodude,Racaillou
75,Graveler,Gravalanch
76,Golem,Grolem
77,Ponyta,Ponyta
78,Rapidash,Galopa
79,Slowpoke,Ramoloss
80,Slowbro,Flagadoss
81,Magnemite,Magnéti
82,Magneton,Magnéton
83,Farfetch'd,Canarticho
84,Doduo,Doduo
85,Dodrio,Dodrio
86,Seel,Otaria
87,Dewgong,Lamantine
88,Grimer,Tadmorv
89,Muk,Grotadmorv
90,Shellder,Kokiyas
91,Cloyster,Crustabri
92,Gastly,Fantominus
93,Haunter,Spectrum
94,Gengar,Ectoplasma
95,Onix,Onix
96,Drowzee,Soporifik
97,Hypno,Hypnomade
98,Krabby,Krabby
99,Kingler,Krabboss
100,Voltorb,Voltorbe
101,Electrode,Électrode
102,Exeggcute,Noeunoeuf
103,Exeggutor,Noadkoko
104,Cubone,Osselait
105,Marowak,Ossatueur
106,Hitmonlee,Kicklee
107,Hitmonchan,Tygnon
108,Lickitung,Excelangue
109,Koffing,Smogo
110,Weezing,Smogogo
111,Rhyhorn,Rhinocorne
112,Rhydon,Rhinoféros
113,Chansey,Leveinard
114,Tangela,Saquedeneu
115,Kangaskhan,Kangourex
116,Horsea,Hypotrempe
117,Seadra,Hypocéan
118,Goldeen,Poissirène
119,Seaking,Poissoroy
120,Staryu,Stari
121,Starmie,Staross
122,Mr. Mime,M. Mime
123,Scyther,Insécateur
124,Jynx,Lippoutou
125,Electabuzz,Élektek
126,Magmar,Magmar
127,Pinsir,Scarabrute
128,Tauros,Tauros
129,Magikarp,Magicarpe
130,Gyarados,Léviator
131,Lapras,Lokhlass
132,Ditto,Métamorph
133,Eevee,Évoli
134,Vaporeon,Aquali
135,Jolteon,Voltali
136,Flareon,Pyroli
137,Porygon,Porygon
138,Omanyte,Amonita
139,Omastar,Amonistar
140,Kabuto,Kabuto
141,Kabutops,Kabutops
142,Aerodactyl,Ptéra
143,Snorlax,Ronflex
144,Articuno,Artikodin
145,Zapdos,Électhor
146,Moltres,Sulfura
147,Dratini,Minidraco
148,Dragonair,Draco
149,Dragonite,Dracolosse
150,Mewtwo,Mewtwo
151,Mew,Mew
152,Chikorita,Germignon
153,Bayleef,Macronium
154,Meganium,Méganium
155,Cyndaquil,Héricendre
156,Quilava,Feurisson
157,Typhlosion,Typhlosion
158,Totodile,Kaiminus
159,Croconaw,Crocrodil
160,Feraligatr,Aligatueur
161,Sentret,Fouinette
162,Furret,Fouinar
163,Hoothoot,Hoothoot
164,Noctowl,Noarfang
165,Ledyba,Coxy
166,Ledian,Coxyclaque
167,Spinarak,Mimigal
168,Ariados,Migalos
169,Crobat,Nostenfer
170,Chinchou,Loupio
171,Lanturn,Lanturn
172,Pichu,Pichu
173,Cleffa,Mélo
174,Igglybuff,Toudoudou
175,Togepi,Togepi
176,Togetic,Togetic
177,Natu,Natu
178,Xatu,Xatu
179,Mareep,Wattouat
